MIP Number,log tit,D - Call Direction,E - Call Method,F - Call Type,cat,na,Note,G - Created By,C - Created On
57739664,,Inbound,Phone,Overdue Payment - Monthly Income,Query,Done,None,Vanessa Wilson,2026-06-26 00:00:00
57739664,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-26 00:00:00
54724698,,Inbound,Phone,How to claim - Termination,Query,Done,None,Chris-Nicolla Madlela,2026-06-26 00:00:00
54724698,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-06-26 00:00:00
57138676,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-26 00:00:00
57138676,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-26 00:00:00
57968781,,Inbound,Phone,New Claim Pack Received (Incomplete),Query,Done,None,Vanessa Wilson,2026-06-26 00:00:00
57968781,,Outbound,Phone,Follow Up Incomplete Claim Pack,Query,Done,None,Vanessa Wilson,2026-06-26 00:00:00
57900772,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Vanessa Wilson,2026-06-26 00:00:00
57900772,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-26 00:00:00
54671423,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-06-26 00:00:00
54671423,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-26 00:00:00
54740013,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Vanessa Wilson,2026-06-26 00:00:00
54740013,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-26 00:00:00
54702251,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-06-26 00:00:00
54702251,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-26 00:00:00
56582376,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
56582376,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54688783,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54688783,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-29 00:00:00
58443383,,Inbound,Phone,Overdue Payment - Monthly Income,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
58443383,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
54739553,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54739553,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-29 00:00:00
58261376,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
58261376,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
55653338,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
55653338,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56598122,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-29 00:00:00
56598122,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-29 00:00:00
56598130,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-06-29 00:00:00
56598130,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54667585,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54667585,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-29 00:00:00
57909675,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-29 00:00:00
57909675,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
57229160,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
57229160,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
57909675,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
57909675,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56757328,,Inbound,Emails,Feedback from SALT,Query,Done,None,Athena Prince,2026-06-29 00:00:00
56757328,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
56646982,,Inbound,Emails,How to claim - Ad Hoc,Query,Done,None,Athena Prince,2026-06-29 00:00:00
56646982,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-29 00:00:00
57229152,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
57229152,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56298211,,Inbound,Phone,Overdue Payment - Monthly Income,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56298211,,Outbound,Phone,Funds Depleted,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56298674,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56298674,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
54655345,,Inbound,Phone,How to claim - Termination,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
54655345,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56646982,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-06-29 00:00:00
56646982,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54737106,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54737106,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-29 00:00:00
57909675,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
57909675,,Outbound,Phone,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54655345,,Inbound,Phone,How to claim - Termination,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
54655345,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
54762095,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54762095,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-29 00:00:00
57908313,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
57908313,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56646982,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-29 00:00:00
56646982,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-29 00:00:00
55536041,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Athena Prince,2026-06-29 00:00:00
55536041,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54759455,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-06-29 00:00:00
54759455,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54636942,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
54636942,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
54746292,,Inbound,Emails,Feedback from SALT,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54746292,,Outbound,Emails,Feedback to SALT,Query,Done,None,Athena Prince,2026-06-29 00:00:00
54655345,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
54655345,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56647670,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56647670,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56484641,,Inbound,Emails,Overdue Payment - Monthly Income,Query,Done,None,Athena Prince,2026-06-29 00:00:00
56484641,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-29 00:00:00
55536041,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
55536041,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56647670,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
56647670,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-29 00:00:00
55358506,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
55358506,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-29 00:00:00
57742960,,Inbound,Phone,How to claim - Ad Hoc,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
57742960,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
57742952,,Inbound,Phone,How to claim - Ad Hoc,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
57742952,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
54731136,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
54731136,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
54708521,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
54708521,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
54656244,,Inbound,Phone,New Claim Pack Received (Incomplete),Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
54656244,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
54663753,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
54663753,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
54702032,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
54702032,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
55814633,,Inbound,Phone,How to claim - Ad Hoc,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
55814633,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
54731266,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
54731266,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-30 00:00:00
57909667,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-01 00:00:00
57909667,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-01 00:00:00
57143843,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-01 00:00:00
57143843,,Outbound,Emails,Feedback to SALT,Query,Done,None,Athena Prince,2026-07-01 00:00:00
57909675,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-01 00:00:00
57909675,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-01 00:00:00
57426833,,Inbound,Emails,How to claim - Ad Hoc,Query,Done,None,Athena Prince,2026-07-01 00:00:00
57426833,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54661477,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54661477,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54687187,,Inbound,Emails,Fund Value Confirmation,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54687187,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-01 00:00:00
56574510,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-01 00:00:00
56574510,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-01 00:00:00
56574510,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-01 00:00:00
56574510,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-01 00:00:00
57761930,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57761930,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54740565,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54740565,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54647731,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54647731,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54733834,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54733834,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54724698,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Athena Prince,2026-07-01 00:00:00
54724698,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-01 00:00:00
56617887,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
56617887,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
56314192,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-01 00:00:00
56314192,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-07-01 00:00:00
57739591,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57739575,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57739575,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57739591,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57843002,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57843002,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54665632,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57742952,,Inbound,Phone,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57742960,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57742960,,Outbound,Phone,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57742952,,Outbound,Phone,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
55814633,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
55814633,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54737106,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54737106,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54656244,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54656244,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57205054,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57205054,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54670484,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54670484,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
56579241,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
56579241,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54694817,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54694817,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54744234,,Inbound,Phone,Fund Value Confirmation,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54744234,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54744234,,Inbound,Phone,How to claim - Monthly Income,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
54744234,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57739664,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-01 00:00:00
57739664,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54651205,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54651205,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54646581,,Inbound,Emails,Proof of Payment Received,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54646581,,Outbound,Emails,Proof of Payment Sent,Query,Done,None,Athena Prince,2026-07-01 00:00:00
56538158,,Inbound,Phone,How to claim - Monthly Income,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
56538158,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57968781,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
57968781,,Outbound,Emails,Acknowledgement Letter Sent,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
56399754,,Inbound,Emails,Feedback from SALT,Query,Done,None,Athena Prince,2026-07-01 00:00:00
56399754,,Outbound,Emails,Feedback to SALT,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54662254,,Inbound,Emails,Proof of Payment Received,Query,Done,None,Athena Prince,2026-07-01 00:00:00
54662254,,Outbound,Emails,Proof of Payment Sent,Query,Done,None,Athena Prince,2026-07-01 00:00:00
56617887,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
56617887,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-01 00:00:00
56574510,,Inbound,Emails,How to claim - Ad Hoc,Query,Done,None,Athena Prince,2026-07-02 00:00:00
56574510,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-02 00:00:00
54689511,,Inbound,Emails,Proof of Payment Received,Query,Done,None,Athena Prince,2026-07-02 00:00:00
54689511,,Outbound,Emails,Proof of Payment Sent,Query,Done,None,Athena Prince,2026-07-02 00:00:00
54683752,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-02 00:00:00
54683752,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-02 00:00:00
56579241,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
56579241,,Outbound,Emails,Acknowledgement Letter Sent,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
56579241,,Inbound,Emails,Acknowledgement Letter Received,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
56579241,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
57750671,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
57750671,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
56618145,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
56618145,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
57750647,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-02 00:00:00
57750647,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-07-02 00:00:00
54651943,,Inbound,Emails,How to claim - Ad Hoc,Query,Done,None,Athena Prince,2026-07-02 00:00:00
54651943,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-02 00:00:00
54725345,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-02 00:00:00
54725345,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-02 00:00:00
55387975,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-02 00:00:00
55387975,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-02 00:00:00
55501113,,Inbound,Phone,How to claim - Termination,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
55501113,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
57761930,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
57761930,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
54659071,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
54659071,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
55510015,,Inbound,Phone,Fund Value Confirmation,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
55510015,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
55510007,,Inbound,Phone,Fund Value Confirmation,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
55510007,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
55659681,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
55659681,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
57742952,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
57742952,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
54724698,,Inbound,Phone,How to claim - Termination,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
54724698,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
54702138,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-07-02 00:00:00
54702138,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-07-02 00:00:00
54762095,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-02 00:00:00
54762095,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-02 00:00:00
56538158,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
56538158,,Outbound,Phone,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
56369143,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-02 00:00:00
56369143,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-02 00:00:00
54694817,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
54694817,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-02 00:00:00
55510015,,Inbound,Emails,How to claim - Monthly Income,Query,Done,None,Athena Prince,2026-07-03 00:00:00
55510015,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-03 00:00:00
55673872,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
55673872,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
57842947,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-03 00:00:00
57842947,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-03 00:00:00
54704406,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-07-03 00:00:00
54704406,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-07-03 00:00:00
54724698,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
54724698,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-07-03 00:00:00
57750647,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-07-03 00:00:00
